postcode,loneliness_zscore,ranked,deciles
HS33BG,3.120782850109919,644.0,8
HS53UA,3.3697586841283402,654.0,8
HS65AE,0.5987963974997619,483.0,6
HS75QA,-1.2048004386418751,252.0,3
HS85SS,3.863942715356296,667.0,9
HS95XD,0.9804778079360821,520.0,7
IV108SY,-2.1122401103634045,149.0,2
IV118YF,1.042145948849907,528.0,7
IV125EE,-0.9253617133414327,286.0,3
IV149AG,-1.5052445589419934,211.0,2
IV159QS,-2.6050014158800248,109.0,1
IV170UN,-2.4893742665855463,119.0,1
IV191EU,-1.1477741982904663,259.0,3
IV222EZ,4.050983637627397,674.0,9
IV222HU,1.8895414053163915,598.0,8
IV23BG,-1.383151200910973,230.0,3
IV23NF,-0.15783439096111018,390.0,5
